1	SNCG
2	SCAMP3
3	NEFL
4	FOSB
5	EIF4G1
6	LYN
7	GLRX
8	PRDX3
9	MetAP.2
10	GSTP1
11	USP8
12	CCL3
13	PAG1
14	AHCY
15	PRDX5
16	THOP1
17	CA13
18	CRKL
19	TIGAR
20	APEX1
21	NQO2
22	CAIX
23	PHOSPHO1
24	HDGF
25	ARHGEF12
26	PFDN2
27	LILRB4
28	TBCB
29	PFKM
30	WWP2
31	MILR1
32	SRC
33	MAD1L1
34	SRPK2
35	CCDC80
36	CXCL1
37	HMOX2
38	SIGLEC7
39	ILKAP
40	PRDX1
41	PPP1R2
42	IMPA1
43	DDC
44	PSIP1
45	ABL1
46	FHIT
47	LOX-1
48	4E-BP1
49	HEXIM1
50	EZR
51	DNAJB1
52	PREB
53	CAPG
54	DFFA
55	ENO2
56	TNFRSF11A
57	PARP-1
58	METAP1D
59	hOSCAR
60	CLEC5A
61	CLM-6
62	CD84
63	HAGH
64	RBKS
65	CAMKK1
66	PPP3R1
67	ALDH1A1
68	SRP14
69	GCP5
70	IL8
71	PIgR
72	GLO1
73	Siglec-9
74	TNFRSF12A
75	STAMBP
76	MGMT
77	SOD2
78	CRADD
79	MAPT
80	PPP1R9B
81	Gal-9
82	FKBP5
83	EIF4B
84	FKBP4
85	MAP2K6
86	DDAH1
87	WASF1
88	BAG6
