1	CTSS
2	DPP6
3	PLXNB1
4	SEZ6L2
5	IL-12B
6	SMPD1
7	AMIGO2
8	EPHA10
9	TGF-alpha
10	CADM3
11	PD-L1
12	CD38
13	GDNFR-alpha-3
14	ADA
15	MDGA1
16	SLITRK2
17	SMOC2
18	BAMBI
19	TWEAK
20	PVR
21	DRAXIN
22	ADAM15
23	GDF-8
24	Alpha-2-MRAP
25	SCARF2
26	DDR1
27	SMOC1
28	EFNA4
29	RGMA
30	TNFRSF21
31	NTRK3
32	GFRA2
33	LRRN1
34	CLSTN3
35	CD302
36	CDH6
37	JAM-B
38	TN-R
39	ADAM.23
40	FLRT2
41	PLXNB3
42	FAM19A5
43	SORCS2
44	RGMB
45	IL12
46	HS6ST1
47	CNTN5
48	ENTPD6
49	DNER
50	NAAA
51	ROBO2
52	gal-8
53	LAYN
54	DCBLD2
55	CRH
56	DPP10
57	NXPH1
58	BCAN
59	EGFL7
60	PCDH17
61	FGFR2
62	CA14
63	MATN3
64	IL17RB
65	CLSTN1
66	IGSF3
67	PDGF-R-alpha
68	TNFRSF13C
69	PLXDC1
70	BMP-4
71	CXADR
72	SCARA5
73	LTBP3
74	uPA
75	KIRREL2
76	CDH15
77	EDA2R
78	EPHB6
79	ADGRB3
80	VEGFA
81	N2DL-2
82	NRP2
83	SIGLEC1
84	SKR3
85	APLP1
86	NTRK2
87	CFC1
88	GFR-alpha-1
89	MANF
90	UNC5C
91	PLXNA4
92	CD83
93	CNTNAP2
94	SPOCK1
95	SCARB2
96	CD200
97	LIF-R
98	NUCB2
99	GALNT2
100	ISLR2
101	PODXL2
102	NBL1
103	VWC2
104	CPM
105	NPPC
106	PRTG
