Feature,Gini_Importance,SHAP_Importance,Folds_Appeared
HDGF,0.05268503007968976,0.029737256039966915,5
FOSB,0.05395482566855464,0.02811520180602862,5
PAG1,0.05049891028664892,0.025655829776059062,5
APEX1,0.04815678614209896,0.02520474602190368,5
PSIP1,0.03640260107725386,0.020370651506148595,5
FKBP4,0.035741159288681726,0.01905962894383951,5
WASF1,0.03492517325960495,0.019055330171581217,5
MAPT,0.039083743984080196,0.018772523597273414,5
METAP1D,0.03136979599580206,0.016728933231837148,5
GPC5,0.02967146321663126,0.015538708082861646,5
PPP3R1,0.03178147498858508,0.014633867289202452,5
EIF4G1,0.029681485162103238,0.01455549468679052,5
PRDX3,0.027373522652706466,0.014477091127954728,5
CAMKK1,0.030711884120524575,0.014393061346373772,5
CCDC80,0.030227788733344373,0.014025659773623605,5
PARP-1,0.030341318198184884,0.013996724826010925,5
THOP1,0.026953240738324634,0.013436905699704692,5
HEXIM1,0.028185310500822413,0.012849624447790073,5
NEFL,0.020536424000768216,0.011172142391059802,4
ARHGEF12,0.020535730990015866,0.010357216509813432,5
SRC,0.017484764993815183,0.008710989680743953,2
MAD1L1,0.01850467225683535,0.008404242990376957,5
SRP14,0.017925464894028846,0.008005434393998872,5
CRKL,0.01799396660738408,0.0071381948882640826,5
ALDH1A1,0.01546683893813475,0.006478410888831267,5
ENO2,0.012859823191369853,0.005909133756778809,5
MAP2K6,0.013310730475189691,0.005545938394054611,5
RBKS,0.013917042749379587,0.005392407768653387,5
ABL1,0.011713164031275614,0.0053738014026786934,5
PFKM,0.010617148829260167,0.004909813043397876,5
MetAP 2,0.012693301275653799,0.004880092009697945,5
ZBTB17,0.007046671417311141,0.004756787265984631,1
HMOX2,0.013100553345303537,0.0047066338066821,5
CA13,0.00837257171599458,0.004696160270092362,1
CRADD,0.008409040840892978,0.004582111829939413,1
SRPK2,0.009516298499069974,0.004567236725602395,5
PFDN2,0.010127171564643211,0.004283701966662234,5
SCAMP3,0.010422408229478989,0.004201274280177235,5
4E-BP1,0.009233701662219627,0.00401741891049131,5
ILKAP,0.007403946097689158,0.003686849359338898,2
PHOSPHO1,0.007622052154480874,0.003554330169823522,5
SOD2,0.009835991107500996,0.003528618948217225,5
MGMT,0.008587609271535544,0.003487329808949563,5
EIF4B,0.009595743801291249,0.0034081148206286825,5
PPP1R2,0.009345590228481585,0.0033385214479628817,5
STAMBP,0.008080165446448887,0.003249241787045712,5
GLO1,0.007520292760536213,0.002813858928760873,5
CAIX,0.0071840425175274236,0.0026524843634947956,2
DFFA,0.006925562510374029,0.0025167903302249434,2
NQO2,0.007392826718452651,0.0025127367838265083,1
WWP2,0.007251613364047077,0.0025050426109089956,5
PRDX5,0.006576384382431489,0.002498831358211457,5
DDAH1,0.006334381693334787,0.002206258266566122,5
IMPA1,0.005164483791965613,0.002177180113613564,1
LYN,0.004740768394171063,0.0020577554689884376,3
GLRX,0.0054988260846026826,0.0020452909209384314,5
TBCB,0.005907287641238784,0.00200081350083393,4
PPP1R9B,0.005959711888148824,0.001555097278329342,1
